               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  75,            0.018691,            0.007953,            0.015094,             0.88675,             0.11139,             0.11896,            0.093823,                 nan,                 nan,                 nan,            0.002674,            0.002674,            0.002674
                  76,            0.018756,           0.0080039,            0.015363,             0.91714,             0.11285,             0.11882,            0.099927,                 nan,                 nan,                 nan,            0.002575,            0.002575,            0.002575
                  77,            0.018946,           0.0082674,            0.014807,             0.91366,             0.11441,             0.11907,            0.099017,                 nan,                 nan,                 nan,            0.002476,            0.002476,            0.002476
                  78,            0.019251,            0.007811,            0.013713,             0.91868,             0.11225,             0.11923,            0.098612,                 nan,                 nan,                 nan,            0.002377,            0.002377,            0.002377
                  79,            0.018642,           0.0080184,            0.013229,             0.87133,             0.11366,              0.1163,            0.094718,                 nan,                 nan,                 nan,            0.002278,            0.002278,            0.002278
                  80,            0.018314,           0.0076962,            0.014371,             0.86074,             0.11318,             0.11587,            0.093602,                 nan,                 nan,                 nan,            0.002179,            0.002179,            0.002179
                  81,            0.018341,           0.0080243,            0.014202,             0.93265,            0.091814,             0.10456,             0.08594,                 nan,                 nan,                 nan,             0.00208,             0.00208,             0.00208
                  82,             0.01794,           0.0075664,            0.012702,             0.98171,            0.093076,             0.11264,            0.096458,                 nan,                 nan,                 nan,            0.001981,            0.001981,            0.001981
                  83,            0.017965,           0.0078167,            0.012468,             0.98196,            0.090609,             0.11257,            0.093397,                 nan,                 nan,                 nan,            0.001882,            0.001882,            0.001882
                  84,            0.017933,           0.0075409,            0.013555,             0.98179,            0.093032,             0.11237,            0.090426,                 nan,                 nan,                 nan,            0.001783,            0.001783,            0.001783
                  85,            0.018034,           0.0078667,            0.013465,             0.87025,             0.11367,             0.11367,            0.090206,                 nan,                 nan,                 nan,            0.001684,            0.001684,            0.001684
                  86,            0.017961,           0.0075624,            0.012567,             0.86515,              0.1145,             0.11392,            0.092401,                 nan,                 nan,                 nan,            0.001585,            0.001585,            0.001585
                  87,            0.017194,           0.0075626,            0.012236,             0.98066,            0.093025,             0.10231,            0.082968,                 nan,                 nan,                 nan,            0.001486,            0.001486,            0.001486
                  88,            0.016981,           0.0076285,            0.011788,             0.98124,            0.093113,             0.10724,            0.087988,                 nan,                 nan,                 nan,            0.001387,            0.001387,            0.001387
                  89,            0.016894,           0.0076602,            0.011447,             0.97761,            0.093041,              0.1127,            0.092038,                 nan,                 nan,                 nan,            0.001288,            0.001288,            0.001288
                  90,            0.016563,           0.0075162,            0.011705,              0.9755,            0.093092,             0.10955,            0.092796,                 nan,                 nan,                 nan,            0.001189,            0.001189,            0.001189
                  91,            0.016449,           0.0076413,            0.010949,             0.98562,            0.093271,             0.10625,            0.088063,                 nan,                 nan,                 nan,             0.00109,             0.00109,             0.00109
                  92,            0.016678,           0.0074624,            0.010849,             0.98708,            0.092959,             0.10753,            0.088098,                 nan,                 nan,                 nan,            0.000991,            0.000991,            0.000991
                  93,            0.016358,           0.0074923,             0.01018,              0.9782,            0.092892,             0.10679,            0.090647,                 nan,                 nan,                 nan,            0.000892,            0.000892,            0.000892
                  94,            0.016215,           0.0073341,           0.0099393,             0.98067,            0.093089,             0.11276,             0.09308,                 nan,                 nan,                 nan,            0.000793,            0.000793,            0.000793
                  95,            0.016065,           0.0074215,            0.011172,             0.86947,             0.11353,             0.11901,            0.097353,                 nan,                 nan,                 nan,            0.000694,            0.000694,            0.000694
                  96,            0.015601,           0.0072417,            0.010741,             0.86936,             0.11357,             0.11912,            0.096223,                 nan,                 nan,                 nan,            0.000595,            0.000595,            0.000595
                  97,            0.015638,            0.007261,           0.0095673,              0.8713,              0.1123,             0.11921,            0.095668,                 nan,                 nan,                 nan,            0.000496,            0.000496,            0.000496
                  98,            0.015347,           0.0073924,             0.00928,             0.97008,            0.093285,             0.11273,            0.091756,                 nan,                 nan,                 nan,            0.000397,            0.000397,            0.000397
                  99,            0.015151,           0.0071322,           0.0094123,              0.9748,            0.093204,             0.11282,            0.091018,                 nan,                 nan,                 nan,            0.000298,            0.000298,            0.000298
